name_sci,camp_1,camp_2,meshach_cobb,matt_forest_low,matt_forest_high,matt_savanna_med,matt_savanna_high,evi_charabaru,pickles_rewa,evi_karanambu,evi_dadanawa,sanderson_kanuku
Cerdocyon thous,NA,1.56,0.081,NA,NA,8.1,28.65,NA,NA,49.68,21.54,NA
Cuniculus paca,1.773,2.199,1.384,15.19,11.44,0.9,5.83,5.4,7.005,3.16,6.18,9.2
Dasyprocta leporina,3.901,5.745,14.902,48.88,35.93,28.62,26.87,36.3,11.61,12.34,27.51,13.8
Dasypus sp.,0.355,2.908,0.57,9.27,13.19,0,6.3,NA,NA,NA,NA,NA
Eira barbara,0.071,0.496,0.326,NA,NA,NA,NA,0.4,0.41,0.32,1.07,NA
Herpailurus yagouaroundi,0.142,NA,NA,NA,NA,NA,NA,0.7,0.83,NA,NA,NA
Leopardus pardalis,1.631,1.773,1.384,2.31,2.11,2.52,1.74,3.9,1.66,3.16,2.35,4.6
Leopardus wiedii,NA,0.213,NA,NA,NA,NA,NA,0.4,0.83,0.95,0.43,NA
Mazama americana,2.128,2.482,1.792,9.38,5.52,3.72,3.17,3.25,1.66,1.9,2.56,4.6
Mazama nemorivaga,0.071,2.411,0.326,3.54,2.3,NA,NA,3.25,NA,NA,NA,1.5
Myoprocta acouchy,0.142,0.638,NA,20.54,32.44,NA,NA,3.8,6.22,NA,NA,13.8
Myrmecophaga tridactyla,0.213,0.142,0.244,0.46,0.52,2.1,0.78,1.1,0.41,1.9,4.69,NA
Nasua nasua,NA,0.284,NA,NA,NA,NA,NA,0.4,NA,2.22,3.41,NA
Panthera onca,1.277,0.284,0.407,1,0.33,1.86,1.96,6.6,NA,7.59,2.35,NA
Pecari tajacu,3.83,3.617,0.407,12.13,17.52,2.62,3.17,7.4,3.73,3.16,1.71,13.8
Priodontes maximus,NA,0.142,0.163,0.44,0.11,0,0.13,NA,NA,NA,NA,1.5
Puma concolor,1.064,0.496,0.977,2.02,0.74,1.21,0.13,5.4,0.83,1.27,0.21,NA
Tapirus terrestris,0.496,3.404,2.28,5.79,3.15,7.03,2.52,5.5,3.73,1.27,1.49,NA
Tayassu pecari,NA,1.489,1.873,NA,NA,NA,NA,1.3,,,,13.8
