Station,lat,long,Elevation
BSLL35,4.76494,-58.12465,100
BSLL14,4.74808,-58.07346,90
BSLL2011,4.72915,-57.98182,73
BSLL302,4.76656,-57.98819,62
BSLL43,4.78325,-58.08909,100
BSLL46,4.78213,-58.14264,109
BSLL16,4.74809,-58.10722,108
BSLL3011,4.76622,-58.00713,63
BSLL40,4.78396,-58.0296,101
BSLL311,4.76533,-58.03967,104
BSLL34,4.76593,-58.10717,116
BSLL10,4.74787,-58.00131,67
BSLL12,4.74816,-58.03758,82
BSLL12B,4.74819,-58.03802,91
BSLL33b*,4.76551,-58.08974,116
BSLL42*,4.78361,-58.0714,101
BSLL1011,4.74692,-57.98331,64
BSLL45*,4.78315,-58.12447,107
BSLL321,4.76538,-58.05481,109
BSLL44,4.78315,-58.10736,100
BSLL24,4.73018,-58.05171,88
BSLL41,4.78317,-58.05318,96
BSLL26,4.73051,-58.08756,108
BSLL15,4.74763,-58.0898,114
BSLL13*,4.74817,-58.05556,100
BSLL231*,4.73176,-58.03273,63
BSLL33,4.76517,-58.07122,88
BSLL17,4.74669,-58.12471,91
BSLL21,4.73157,-58.01458,70
BSLL47*,4.78361,-58.01503,84
BSLL36,4.76466,-58.14286,122
BSLL25*,4.73044,-58.06966,108
BSLL11*,4.74789,-58.0202,57
BSLL20,4.73076,-58.00006,81
BSLL30,4.76654,-58.02493,77
